id,rate_unemployment,percent_college,percent_married,median_income,average_act,percent_lunch,year,state,LEAID,zip_code,school_type,school_level,charter,school_code,id_support,Tot_salary_exp,Tot_salary_exp_federal
120015000078,0.20293554562859,0.632786885245902,0.5,29099.0,22.032967032967,0.316187594553706,2016-2017,FL,1200150,32780,Regular School,High,No,62.0,120015000062,425953.26,616449.96
120015000088,0.0853722019781364,0.590235081374322,0.354297693920335,41615.0,22.8632478632479,0.334794040315513,2016-2017,FL,1200150,32796,Regular School,High,No,62.0,120015000062,425953.26,616449.96
120015000090,0.160958904109589,0.3525,0.11829134720701,20625.0,22.6434676434676,0.268221574344023,2016-2017,FL,1200150,32955,Regular School,High,No,62.0,120015000062,425953.26,616449.96
120015000100,0.184439973172368,0.397819314641745,0.316860465116279,30345.0,20.006105006105,0.595744680851064,2016-2017,FL,1200150,32926,Regular School,High,No,62.0,120015000062,425953.26,616449.96
120015000103,0.176470588235294,0.63663890991673,0.469387755102041,28940.0,23.0586080586081,0.216807558428642,2016-2017,FL,1200150,32901,Regular School,High,No,62.0,120015000062,425953.26,616449.96
120015000104,0.112665406427221,0.686366932559826,0.548663101604278,42364.0,22.5457875457875,0.442728442728443,2016-2017,FL,1200150,32901,Regular School,High,No,62.0,120015000062,425953.26,616449.96
120015000109,0.154243542435424,0.541037426132633,0.615643964935941,42823.0,21.5445665445665,0.351961950059453,2016-2017,FL,1200150,32935,Regular School,High,No,62.0,120015000062,425953.26,616449.96
120015000118,0.15568570034163,0.677446451070979,0.580099502487562,37185.0,22.3504273504273,0.217478318879253,2016-2017,FL,1200150,32953,Regular School,High,No,62.0,120015000062,425953.26,616449.96
120015000119,0.15568570034163,0.677446451070979,0.580099502487562,37185.0,25.8424908424908,0.0765957446808511,2016-2017,FL,1200150,32953,Regular School,High,No,62.0,120015000062,425953.26,616449.96
120015000127,0.102790014684288,0.843220338983051,0.535976505139501,64151.0,24.5482295482295,0.196735395189003,2016-2017,FL,1200150,32931,Regular School,High,No,62.0,120015000062,425953.26,616449.96
120015000131,0.0253807106598985,0.890625,0.720739219712526,61726.0,23.8156288156288,0.151162790697674,2016-2017,FL,1200150,32937,Regular School,High,No,62.0,120015000062,425953.26,616449.96
120015002977,0.10989010989011,0.539008894536213,0.940397350993378,56912.0,23.5225885225885,0.306408544726302,2016-2017,FL,1200150,32927,Regular School,High,No,62.0,120015000062,425953.26,616449.96
